tabled_Årsmodell,tabled_Sylindervolum,tabled_Farge,tabled_Effekt,tabled_Karosseri,tabled_Omregistrering,tabled_Innskudd,tabled_Bilen står i,tabled_Salgsform,tabled_Forrige pris,tabled_Avgiftsklasse,tabled_Antall eiere,id,tabled_Vekt,price,title,place,tabled_Årsavgift,tabled_CO2 utslipp,tabled_1. gang registrert,tabled_Hjuldrift,tabled_Pris eks omreg,tabled_Hjuldriftnavn,tabled_Interiørfarge,tabled_Antall dører,tabled_Str. lasterom,tabled_Drivstoff,tabled_Reg.nr.,tabled_Girkasse,tabled_Antall seter,tabled_Fargebeskrivelse,tabled_Km.stand
,,,,,3660,,,,,,,98608789,,268000,Mazda CX-5,6800 Førde,Inklusiv,,,,264340,,,,,,,,,,
,,,,,1255,,,,,,,98608765,,359000,Volkswagen Caravelle,1710 Sarpsborg,Ikke inklusiv,,,,357745,,,,,,,,,,
,,,,,6064,,,,,,,84883048,,429000,BMW X3,4389 Vikeså,Inklusiv,,,,422936,,,,,,,,,,
,,,,,2614,,,,,,,96116393,,62614,Peugeot 207,5955 Lindås,Inklusiv,,,,60000,,,,,,,,,,
,,,,,1569,,,,,,,98596079,,15569,Volkswagen Passat,1513 Moss,Ikke inklusiv,,,,14000,,,,,,,,,,
,,,,,6064,,,,,,,98608747,,239000,Skoda Octavia,2040 Kløfta,Inklusiv,,,,232936,,,,,,,,,,
,,,,,6064,,,,"685 000,-",,,97619237,,675000,BMW X3,0212 Oslo,Ikke inklusiv,,,,668936,,,,,,,,,,
,,,,,1569,,,,,,,98518102,,113569,Mercedes-Benz E-Klasse,7530 Meråker,Inklusiv,,,,112000,,,,,,,,,,
,,,,,2614,,,,,,,98608155,,125000,Hyundai i20,0661 Oslo,Ikke inklusiv,,,,122386,,,,,,,,,,
,,,,,1569,,,,,,,96383767,,336569,Porsche 911,1367 Snarøya,Inklusiv,,,,335000,,,,,,,,,,
,,,,,3973,,,,,,,98606162,,243973,BMW i3,4325 Sandnes,Inklusiv,,,,240000,,,,,,,,,,
,,,,,3660,,,,,,,98608418,,319000,Mitsubishi Outlander,7048 Trondheim,Ikke inklusiv,,,,315340,,,,,,,,,,
,,,,,1569,,,,,,,98607246,,79000,Audi A4,1390 Vollen,Inklusiv,,,,77431,,,,,,,,,,
2016,3 l,Svart,275 Hk,Sedan,,,Norge,Leasing,,Personbil,2,95640385,1 875 kg,7634,Maserati Ghibli,0983 Oslo,,,01.02.2016,Bakhjulsdrift,,,sort,4,500 l,Diesel,BT29540,Automat,5,Nero Ribelle,19 000 km
,,,,,1569,,,,,,,98596907,,14569,Nissan Tino,3055 Krokstadelva,Inklusiv,,,,13000,,,,,,,,,,
,,,,,3660,,,,,,,98607629,,259800,Volkswagen Sharan,5106 Øvre,Inklusiv,,,,256140,,,,,,,,,,
,,,,,Fritatt,,,,,,,98607252,,799000,Mercedes-Benz V-Klasse,3675 Notodden,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,Fritatt,,,,,,,98607681,,400000,Opel Ampera,2315 Hamar,Inklusiv,,,,,,,,,,,,,,
,,,,,6064,,,,,,,98607677,,198900,Toyota Auris,3512 Hønefoss,Inklusiv,,,,192836,,,,,,,,,,
,,,,,3660,,,,,,,89711523,,123660,Skoda Octavia,1820 Spydeberg,Inklusiv,,,,120000,,,,,,,,,,
,,,,,1569,,,,,,,98462902,,79900,Mercedes-Benz SLK,3039 Drammen,Inklusiv,,,,78331,,,,,,,,,,
,,,,,3660,,,,,,,98607955,,139000,Volvo C30,5116 Ulset,Ikke inklusiv,,,,135340,,,,,,,,,,
,,,,,3660,,,,,,,98607173,,283660,BMW X3,5357 Fjell,Inklusiv,,,,280000,,,,,,,,,,
,,,,,3660,,,,,,,98605681,,163660,Audi A6,4311 Hommersåk,Inklusiv,,,,160000,,,,,,,,,,
,,,,,3660,,,,,,,98606316,,169000,Dacia Duster,3370 Vikersund,Inklusiv,,,,165340,,,,,,,,,,
,,,,,1569,,,,,,,98607450,,38569,Chrysler Grand Voyager,7500 Stjørdal,Inklusiv,,,,37000,,,,,,,,,,
,,,,,3660,,,,,,,98607776,,89000,Hyundai Tucson,2007 Kjeller,Ikke inklusiv,,,,85340,,,,,,,,,,
,,,,,3660,,,,,,,98598224,,70660,Audi A6,1415 Oppegård,Inklusiv,,,,67000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98606922,,69000,Citroen C-Zero,7350 Buvika,Inklusiv,,,,,,,,,,,,,,
,,,,,3660,,,,,,,98605787,,100000,Opel Astra,1671 Kråkerøy,Inklusiv,,,,96340,,,,,,,,,,
1998,"1,9 l",Svart,110 Hk,Stasjonsvogn,,,Norge,Bruktbil til salgs,,Personbil,,98596929,1 340 kg,8569,Volkswagen Passat,1055 Oslo,,,11.07.1997,Forhjulsdrift,,,,5,,Diesel,XL32692,Manuell,5,svart,247 000 km
,,,,,3660,,,,,,,98607463,,159900,Mercedes-Benz E-Klasse,2013 Skjetten,Ikke inklusiv,,,,156240,,,,,,,,,,
,,,,,Fritatt,,,,,,,98607498,,179000,Volvo V50,5116 Ulset,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,1569,,,,,,,98606452,,12569,Volkswagen Passat,2825 Gjøvik,Inklusiv,,,,11000,,,,,,,,,,
,,,,,3973,,,,,,,98607271,,175000,Toyota Yaris,6018 Ålesund,Ikke inklusiv,,,,171027,,,,,,,,,,
2003,"1,6 l",Blå,101 Hk,Flerbruksbil,,,Norge,Bruktbil til salgs,,Personbil,6,98607198,1 318 kg,5569,Opel Zafira,5710 Skulestadmo,,180 g/km,19.08.2003,Forhjulsdrift,,,,5,,Bensin,,Manuell,7,,190 000 km
,,,,,1569,,,,,,,98606639,,21569,Volvo V70,4821 Rykene,,,,,20000,,,,,,,,,,
,,,,,3660,,,,,,,82768077,,112990,BMW 1-serie,4318 Sandnes,Inklusiv,,,,109330,,,,,,,,,,
,,,,,2614,,,,,,,98525452,,129000,Toyota Yaris,4315 Sandnes,Inklusiv,,,,126386,,,,,,,,,,
,,,,,3660,,,,,,,98603313,,228660,Skoda Octavia,1346 Gjettum,Inklusiv,,,,225000,,,,,,,,,,
,,,,,3660,,,,,,,98606068,,398660,Mercedes-Benz E-Klasse,3268 Larvik,Ikke inklusiv,,,,395000,,,,,,,,,,
,,,,,3660,,,,,,,98213289,,89660,BMW 3-serie,4400 Flekkefjord,Inklusiv,,,,86000,,,,,,,,,,
,,,,,6064,,,,,,,98606844,,427900,Subaru Levorg,1400 Ski,Ikke inklusiv,,,,421836,,,,,,,,,,
,,,,,2614,,,,,,,94622785,,34900,Toyota Corolla,5419 Fitjar,Inklusiv,,,,32286,,,,,,,,,,
,,,,,1569,,,,,,,98606444,,175000,Mercedes-Benz S-Klasse,7500 Stjørdal,Inklusiv,,,,173431,,,,,,,,,,
,,,,,1569,,,,,,,97482344,,31569,Peugeot 206,3730 Skien,Inklusiv,,,,30000,,,,,,,,,,
,,,,,6064,,,,,,,96617827,,274000,Mazda CX-5,2006 Løvenstad,Inklusiv,,,,267936,,,,,,,,,,
,,,,,3660,,,,,,,98562504,,219000,Mercedes-Benz E-Klasse,3048 Drammen,Inklusiv,,,,215340,,,,,,,,,,
,,,,,1569,,,,,,,98605093,,151569,Toyota Land Cruiser,6600 Sunndalsøra,Inklusiv,,,,150000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98605922,,18000,Audi 80,6800 Førde,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,1569,,,,,,,98606454,,59000,Audi A4,1617 Fredrikstad,Inklusiv,,,,57431,,,,,,,,,,
,,,,,Fritatt,,,,,,,98605812,,329900,BMW M3,2322 Ridabu,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,3660,,,,,,,98605250,,144990,Volvo V40,6095 Bølandet,Inklusiv,,,,141330,,,,,,,,,,
,,,,,3660,,,,,,,98605518,,72660,Suzuki Grand Vitara,1385 Asker,Inklusiv,,,,69000,,,,,,,,,,
,,,,,1255,,,,,,,86268365,,236255,Isuzu D-max,8665 Mosjøen,Inklusiv,,,,235000,,,,,,,,,,
,,,,,Fritatt,"0,-",,,,,,98606261,,3990,Subaru XV,1400 Ski,,,,,,,,,,,,,,,
,,,,,6064,,,,,,,98596731,,525064,Tesla Model S,1555 Son,Inklusiv,,,,519000,,,,,,,,,,
,,,,,3660,,,,,,,98595766,,83660,Ford Mondeo,1914 Ytre,Inklusiv,,,,80000,,,,,,,,,,
,,,,,1569,,,,,,,98105435,,26569,Audi A4,3080 Holmestrand,Inklusiv,,,,25000,,,,,,,,,,
,,,,,3660,,,,,,,96189356,,133660,Skoda Octavia,3647 Hvittingfoss,Inklusiv,,,,130000,,,,,,,,,,
,,,,,3660,,,,,,,98604981,,618660,Toyota Land Cruiser,5131 Nyborg,Inklusiv,,,,615000,,,,,,,,,,
,,,,,3660,,,,,,,98605919,,439000,Volvo XC 70,3550 Gol,Ikke inklusiv,,,,435340,,,,,,,,,,
,,,,,3660,,,,,,,90392929,,392660,Volvo XC 60,6016 Ålesund,Inklusiv,,,,389000,,,,,,,,,,
,,,,,3660,,,,,,,98605853,,139000,Mercedes-Benz B-Klasse,1711 Sarpsborg,Ikke inklusiv,,,,135340,,,,,,,,,,
,,,,,6064,,,,,,,98530493,,498064,Land Rover Range Rover Evoque,3864 Rauland,Inklusiv,,,,492000,,,,,,,,,,
,,,,,6064,,,,,,,98605843,,299900,Audi A3,3007 Drammen,Ikke inklusiv,,,,293836,,,,,,,,,,
,,,,,1569,,,,,,,98582915,,19569,Citroen Xsara,3330 Skotselv,Inklusiv,,,,18000,,,,,,,,,,
,,,,,1569,,,,,,,98604220,,31569,Nissan X-Trail,3227 Sandefjord,Inklusiv,,,,30000,,,,,,,,,,
,,,,,3660,,,,,,,96471652,,255000,Mazda CX-5,4034 Stavanger,Inklusiv,,,,251340,,,,,,,,,,
,,,,,1569,,,,,,,98605258,,24569,Renault Laguna,9040 Nordkjosbotn,Inklusiv,,,,23000,,,,,,,,,,
,,,,,3660,,,,,,,98605575,,384900,BMW 3-serie,3550 Gol,Ikke inklusiv,,,,381240,,,,,,,,,,
,,,,,6064,,,,,,,98605521,,869900,Volkswagen Touareg,5221 Nesttun,Ikke inklusiv,,,,863836,,,,,,,,,,
,,,,,3660,,,,,,,98605507,,469900,BMW X3,3550 Gol,Ikke inklusiv,,,,466240,,,,,,,,,,
,,,,,6064,,,,,,,98605541,,344000,Volvo V40 Cross Country,3550 Gol,Ikke inklusiv,,,,337936,,,,,,,,,,
,,,,,1569,,,,,,,98604512,,19069,Audi A4,1653 Sellebakk,Inklusiv,,,,17500,,,,,,,,,,
,,,,,3660,,,,,,,97545895,,369660,BMW X3,1162 Oslo,Inklusiv,,,,366000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98605456,,579000,Volvo XC 60,3550 Gol,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,3660,,,,,,,98605491,,295000,Volvo S60,3550 Gol,Ikke inklusiv,,,,291340,,,,,,,,,,
,,,,,6064,,,,,,,98605385,,639000,Volvo S90,3550 Gol,Ikke inklusiv,,,,632936,,,,,,,,,,
,,,,,6064,,,,,,,98605424,,849000,Volvo XC 90,3550 Gol,Ikke inklusiv,,,,842936,,,,,,,,,,
,,,,,3660,,,,,,,92664969,,93660,Skoda Superb,4150 Rennesøy,Inklusiv,,,,90000,,,,,,,,,,
,,,,,3660,,,,,,,98535880,,78660,Kia Sorento,4260 Torvastad,Inklusiv,,,,75000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98604741,,60000,BMW 5-serie,6409 Molde,Inklusiv,,,,,,,,,,,,,,
,,,,,3660,,,,,,,98595409,,65660,Mazda 5,3072 Sande,Inklusiv,,,,62000,,,,,,,,,,
,,,,,3660,,,,,,,98491844,,125990,Volkswagen Passat,3413 Lier,Ikke inklusiv,,,,122330,,,,,,,,,,
,,,,,3660,,,,,,,98604949,,15660,Toyota Corolla,9040 Nordkjosbotn,Inklusiv,,,,12000,,,,,,,,,,
,,,,,3660,,,,,,,98604011,,59000,Toyota Corolla,1391 Vollen,Ikke inklusiv,,,,55340,,,,,,,,,,
,,,,,3660,,,,,,,96523121,,199660,Toyota Prius,1281 Oslo,Inklusiv,,,,196000,,,,,,,,,,
,,,,,6064,,,,,,,98604797,,248500,Volvo V70,1705 Sarpsborg,Ikke inklusiv,,,,242436,,,,,,,,,,
,,,,,3660,,,,,,,98604029,,143660,Volkswagen Golf,7038 Trondheim,Ikke inklusiv,,,,140000,,,,,,,,,,
,,,,,1046,,,,,,,98603853,,18046,Mitsubishi L300,7882 Nordli,Inklusiv,,,,17000,,,,,,,,,,
,,,,,3973,,,,,,,98604046,,198973,Toyota Yaris,3041 Drammen,Ikke inklusiv,,,,195000,,,,,,,,,,
,,,,,3660,,,,,,,98604457,,143000,Ford Focus,1430 Ås,Ikke inklusiv,,,,139340,,,,,,,,,,
,,,,,3660,,,,,,,98603286,,79000,Volkswagen Passat,5144 Fyllingsdalen,Ikke inklusiv,,,,75340,,,,,,,,,,
,,,,,6064,,,,,,,98589220,,46064,Ford,1825 Tomter,Inklusiv,,,,40000,,,,,,,,,,
,,,,,1255,,,,,,,98340902,,139000,Toyota HiAce,3140 Nøtterøy,Inklusiv,,,,137745,,,,,,,,,,
,,,,,Fritatt,,,,,,,98603518,,24000,Ford Taunus,2060 Gardermoen,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,6064,,,,,,,96910499,,449000,Volvo V60,1560 Larkollen,Inklusiv,,,,442936,,,,,,,,,,
,,,,,6064,,,,,,,97001225,,385999,Volkswagen Golf,4824 Bjorbekk,Inklusiv,,,,379935,,,,,,,,,,
,,,,,6064,,,,,,,98603236,,730000,Tesla Model S,0283 Oslo,Inklusiv,,,,723936,,,,,,,,,,
,,,,,6064,,,,,,,98603755,,198500,Volvo V40 Cross Country,1705 Sarpsborg,Ikke inklusiv,,,,192436,,,,,,,,,,
,,,,,1255,,,,,,,88475605,,77255,Peugeot Expert,3812 Akkerhaugen,Ikke inklusiv,,,,76000,,,,,,,,,,
,,,,,1569,,,,,,,98602468,,141569,Nissan Patrol,3221 Sandefjord,Ikke inklusiv,,,,140000,,,,,,,,,,
,,,,,3660,,,,,,,98602354,,353660,BMW Z4,3114 Tønsberg,Inklusiv,,,,350000,,,,,,,,,,
,,,,,6064,,,,,,,98603511,,248500,Volvo V60,1705 Sarpsborg,Ikke inklusiv,,,,242436,,,,,,,,,,
,,,,,6064,,,,,,,98603401,,589000,BMW X3,3676 Notodden,Inklusiv,,,,582936,,,,,,,,,,
,,,,,3660,,,,,,,98602524,,139900,Suzuki SX4,1715 Yven,Inklusiv,,,,136240,,,,,,,,,,
,,,,,6064,,,,,,,98603325,,248500,Ford Mondeo,1705 Sarpsborg,Ikke inklusiv,,,,242436,,,,,,,,,,
,,,,,1569,,,,,,,96393493,,289569,Hummer H2,6520 Frei,Inklusiv,,,,288000,,,,,,,,,,
,,,,,3660,,,,,,,98602494,,115660,Ford Kuga,3070 Sande,Inklusiv,,,,112000,,,,,,,,,,
,,,,,6064,,,,,,,98603054,,184500,Ford Focus,1705 Sarpsborg,Ikke inklusiv,,,,178436,,,,,,,,,,
,,,,,Fritatt,,,,,,,87182918,,60000,Volvo XC 70,0382 Oslo,Inklusiv,,,,,,,,,,,,,,
,,,,,2614,,,,,,,96521552,,29914,Toyota Aygo,1162 Oslo,Inklusiv,,,,27300,,,,,,,,,,
,,,,,3660,,,,,,,98602798,,188500,Ford Mondeo,1705 Sarpsborg,Ikke inklusiv,,,,184840,,,,,,,,,,
,,,,,3660,,,,,,,90286337,,303659,BMW X5,3400 Lier,Ikke inklusiv,,,,299999,,,,,,,,,,
,,,,,3660,,,,,,,84106602,,519000,Jeep Grand Cherokee,3340 Åmot,Ikke inklusiv,,,,515340,,,,,,,,,,
,,,,,6064,,,,,,,98602617,,158500,Ford Focus,1705 Sarpsborg,Ikke inklusiv,,,,152436,,,,,,,,,,
,,,,,1569,,,,,,,98547523,,24569,Volkswagen Touran,5019 Bergen,Ikke inklusiv,,,,23000,,,,,,,,,,
,,,,,1569,,,,,,,97604023,,26569,Renault Laguna,4100 Jørpeland,Inklusiv,,,,25000,,,,,,,,,,
,,,,,6064,,,,,,,98602406,,234000,Ford B-MAX,3676 Notodden,Ikke inklusiv,,,,227936,,,,,,,,,,
,,,,,3660,,,,,,,98602075,,187000,Mercedes-Benz M-Klasse,6450 Hjelset,Inklusiv,,,,183340,,,,,,,,,,
,,,,,Fritatt,,,,,,,69659633,,495000,Ford F-serie,4595 Tingvatn,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,3660,,,,,,,98575869,,102660,Volkswagen Touran,7350 Buvika,Inklusiv,,,,99000,,,,,,,,,,
,,,,,3500,,,,,,,98557876,,379000,Volkswagen Caravelle,3046 Drammen,Inklusiv,,,,375500,,,,,,,,,,
,,,,,3588,,,,,,,71734251,,258588,BMW 3-serie,3211 Sandefjord,Inklusiv,,,,255000,,,,,,,,,,
,,,,,1569,,,,,,,98601709,,69569,Chevrolet Blazer,2825 Gjøvik,Inklusiv,,,,68000,,,,,,,,,,
,,,,,1569,,,,,,,98601460,,25569,Volkswagen Touran,1358 Jar,Inklusiv,,,,24000,,,,,,,,,,
,,,,,6064,,,,,,,92498347,,499000,Volvo XC 60,4656 Hamresanden,Inklusiv,,,,492936,,,,,,,,,,
2010,"1,6 l",Grå,109 Hk,Flerbruksbil,,,Norge,Auksjon,,Personbil,,98601020,,59660,Peugeot 3008,5955 Lindås,,129 g/km,,Forhjulsdrift,,,,,,Diesel,PP90227,Automat,5,,99 800 km
,,,,,1569,,,,,,,98485257,,65009,Mazda MX-5,2936 Begnadalen,Ikke inklusiv,,,,63440,,,,,,,,,,
,,,,,6064,,,,,,,98514611,,334900,BMW i3,0655 Oslo,Ikke inklusiv,,,,328836,,,,,,,,,,
,,,,,3660,,,,,,,98440589,,543660,BMW M3,5136 Mjølkeråen,Inklusiv,,,,540000,,,,,,,,,,
,,,,,Fritatt,,,,,,,96623277,,69999,Volkswagen Passat,6133 Lauvstad,Inklusiv,,,,,,,,,,,,,,
,,,,,3660,,,,,,,98600145,,239000,Audi Q5,1348 Rykkinn,Inklusiv,,,,235340,,,,,,,,,,
,,,,,1569,,,,,,,98600141,,39000,Mitsubishi Lancer,1391 Vollen,Ikke inklusiv,,,,37431,,,,,,,,,,
,,,,,Fritatt,,,,,,,98600402,,1829000,Porsche 911,1396 Billingstad,Inklusiv,,,,,,,,,,,,,,
1999,"1,6 l",Rød,101 Hk,Kombi 5-dørs,,,Norge,Bruktbil til salgs,,Personbil,8,98600054,1 117 kg,7569,Volkswagen Golf,3186 Horten,,,19.08.1998,Forhjulsdrift,,,Mørkegrå velour,5,,Bensin,DJ48207,Manuell,5,,212 000 km
,,,,,1569,,,,,,,98600343,,49900,Opel Meriva,1396 Billingstad,Inklusiv,,,,48331,,,,,,,,,,
,,,,,3660,,,,,,,98599989,,99900,Volvo V70,5239 Rådal,Inklusiv,,,,96240,,,,,,,,,,
,,,,,1569,,,,,,,98518617,,57569,BMW 3-serie,5236 Rådal,Inklusiv,,,,56000,,,,,,,,,,
,,,,,3660,,,,,,,98600236,,98660,Audi A3,4614 Kristiansand,,,,,95000,,,,,,,,,,
,,,,,3660,,,,,,,98600269,,106000,Ford S-MAX,1396 Billingstad,Inklusiv,,,,102340,,,,,,,,,,
,,,,,3588,,,,,,,78854681,,159588,Mercedes-Benz E-Klasse,4250 Kopervik,Inklusiv,,,,156000,,,,,,,,,,
,,,,,Fritatt,,,,,,,94641281,,20000,GMC,9027 Ramfjordbotn,Inklusiv,,,,,,,,,,,,,,
1992,"1,6 l",Gull,116 Hk,Sedan,,,Norge,Bruktbil til salgs,,Personbil,1,98599930,1 120 kg,8569,Toyota Carina,5239 Rådal,,,25.05.2000,Forhjulsdrift,,,,4,,Bensin,SR45259,Manuell,5,,220 000 km
,,,,,6064,,,,,,,93923475,,186064,Volkswagen Golf,5353 Straume,Inklusiv,,,,180000,,,,,,,,,,
,,,,,3660,,,,,,,90761648,,502660,Mercedes-Benz M-Klasse,7022 Trondheim,Inklusiv,,,,499000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98584013,,226000,BMW i3,0279 Oslo,Inklusiv,,,,,,,,,,,,,,
,,,,,2614,,,,,,,98598956,,44900,Hyundai i20,5239 Rådal,Inklusiv,,,,42286,,,,,,,,,,
,,,,,1569,,,,,,,98283460,,61569,Audi A6,6002 Ålesund,Inklusiv,,,,60000,,,,,,,,,,
,,,,,1569,,,,,,,98599375,,14569,Volvo 850,1653 Sellebakk,Inklusiv,,,,13000,,,,,,,,,,
,,,,,3660,,,,,,,95965891,,173160,Volvo XC 70,7058 Jakobsli,Ikke inklusiv,,,,169500,,,,,,,,,,
,,,,,1569,,,,,,,98533700,,21569,BMW 5-serie,2003 Lillestrøm,Inklusiv,,,,20000,,,,,,,,,,
,,,,,3660,,,,,,,98424701,,101660,Hyundai Santa Fe,3540 Nesbyen,Ikke inklusiv,,,,98000,,,,,,,,,,
,,,,,3660,,,,,,,98506820,,92660,Renault Grand Scenic,2013 Skjetten,Inklusiv,,,,89000,,,,,,,,,,
,,,,,6064,,,,,,,98599620,,249900,Opel Mokka,7870 Grong,Ikke inklusiv,,,,243836,,,,,,,,,,
,,,,,1255,,,,,,,98599590,,249900,Ford Galaxy,7870 Grong,Ikke inklusiv,,,,248645,,,,,,,,,,
,,,,,3660,,,,,,,98599569,,389900,Skoda Superb,7870 Grong,Inklusiv,,,,386240,,,,,,,,,,
,,,,,1255,,,,,,,98599581,,134900,Volkswagen Caddy Maxi,7870 Grong,Ikke inklusiv,,,,133645,,,,,,,,,,
,,,,,3660,,,,,,,98599544,,289900,BMW 5-serie,7870 Grong,Ikke inklusiv,,,,286240,,,,,,,,,,
,,,,,3660,,,,,,,98599553,,499900,Audi A6 allroad,7870 Grong,Inklusiv,,,,496240,,,,,,,,,,
,,,,,3660,,,,,,,98599522,,589900,Audi A6 allroad,7870 Grong,Ikke inklusiv,,,,586240,,,,,,,,,,
,,,,,6064,,,,,,,98599533,,229900,Audi A3,7870 Grong,Ikke inklusiv,,,,223836,,,,,,,,,,
,,,,,6064,,,,,,,98599500,,269900,Opel Mokka,7870 Grong,Ikke inklusiv,,,,263836,,,,,,,,,,
,,,,,3660,,,,,,,98599509,,209900,Mitsubishi Outlander,7870 Grong,Ikke inklusiv,,,,206240,,,,,,,,,,
,,,,,3973,,,,,,,98599480,,169900,Opel Corsa,7870 Grong,Ikke inklusiv,,,,165927,,,,,,,,,,
,,,,,1569,,,,,,,98516646,,66569,Volvo V70,6600 Sunndalsøra,Inklusiv,,,,65000,,,,,,,,,,
,,,,,1255,,,,,,,98599471,,79900,Ford Transit Connect,7870 Grong,Ikke inklusiv,,,,78645,,,,,,,,,,
,,,,,3660,,,,,,,98599458,,279900,Volkswagen Tiguan,7870 Grong,Ikke inklusiv,,,,276240,,,,,,,,,,
,,,,,6064,,,,,,,98599450,,379900,Opel Zafira Tourer,7870 Grong,Ikke inklusiv,,,,373836,,,,,,,,,,
,,,,,3660,,,,,,,98599443,,189900,Volvo V70,7870 Grong,Ikke inklusiv,,,,186240,,,,,,,,,,
,,,,,6064,,,,,,,98599422,,329900,BMW X1,7870 Grong,Ikke inklusiv,,,,323836,,,,,,,,,,
,,,,,3660,,,,,,,98599430,,489900,BMW 5-serie,7870 Grong,Ikke inklusiv,,,,486240,,,,,,,,,,
,,,,,1569,,,,,,,98598644,,33000,BMW 3-serie,0484 Oslo,Ikke inklusiv,,,,31431,,,,,,,,,,
,,,,,3660,,,,,,,98599403,,139900,Audi A6,7870 Grong,Ikke inklusiv,,,,136240,,,,,,,,,,
,,,,,3660,,,,,,,98599410,,289900,Ford Kuga,7870 Grong,Ikke inklusiv,,,,286240,,,,,,,,,,
,,,,,3660,,,,,,,98599392,,239900,Volvo V70,7870 Grong,Ikke inklusiv,,,,236240,,,,,,,,,,
,,,,,3660,,,,,,,98599380,,219900,Volkswagen Touran,7870 Grong,Ikke inklusiv,,,,216240,,,,,,,,,,
,,,,,3660,,,,,,,98599372,,259900,Kia Sorento,7870 Grong,Ikke inklusiv,,,,256240,,,,,,,,,,
,,,,,3660,,,,,,,98599362,,279900,Mitsubishi Outlander,7870 Grong,Ikke inklusiv,,,,276240,,,,,,,,,,
,,,,,1255,,,,,,,98599351,,169900,Peugeot Expert,7870 Grong,Ikke inklusiv,,,,168645,,,,,,,,,,
,,,,,6064,,,,,,,98599356,,449900,Ford Kuga,7870 Grong,Ikke inklusiv,,,,443836,,,,,,,,,,
,,,,,3660,,,,,,,98599340,,239900,Mitsubishi Outlander,7870 Grong,Ikke inklusiv,,,,236240,,,,,,,,,,
,,,,,3660,,,,,,,98599330,,194900,Volkswagen Touran,7870 Grong,Ikke inklusiv,,,,191240,,,,,,,,,,
,,,,,1500,,,,,,,98598974,,30000,GMC,2680 Vågå,Ikke inklusiv,,,,28500,,,,,,,,,,
,,,,,3660,,,,,,,98597904,,179660,Volkswagen Tiguan,1654 Sellebakk,Ikke inklusiv,,,,176000,,,,,,,,,,
,,,,,1569,,,,,,,98597935,,11569,BMW 3-serie,0956 Oslo,Inklusiv,,,,10000,,,,,,,,,,
,,,,,5945,,,,,,,86010493,,438945,Audi A4 allroad,2070 Råholt,Inklusiv,,,,433000,,,,,,,,,,
,,,,,3660,,,,,,,98288337,,173660,Nissan Qashqai,0280 Oslo,Inklusiv,,,,170000,,,,,,,,,,
,,,,,3660,,,,,,,98597960,,153660,Volkswagen Caravelle,5713 Vossestrand,Inklusiv,,,,150000,,,,,,,,,,
,,,,,3660,,,,,,,98599218,,229900,MINI Cooper,3735 Skien,Ikke inklusiv,,,,226240,,,,,,,,,,
,,,,,1046,,,,,,,98598838,,72046,Volkswagen Caravelle,6390 Vestnes,Inklusiv,,,,71000,,,,,,,,,,
,,,,,3660,,,,,,,98597105,,219000,Kia Sportage,1274 Oslo,Inklusiv,,,,215340,,,,,,,,,,
,,,,,3660,,,,,,,98598736,,203660,Volkswagen CC,3370 Vikersund,Inklusiv,,,,200000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98599080,,585000,Volvo XC 60,2007 Kjeller,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,1569,,,,,,,98598833,,30569,Ford Fiesta,2840 Reinsvoll,Inklusiv,,,,29000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98599054,,598000,Volvo XC 60,2007 Kjeller,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,Fritatt,,,,,,,98599006,,839000,Volvo XC 90,2007 Kjeller,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,5945,,,,,,,98599021,,235000,Volvo V60,2007 Kjeller,Ikke inklusiv,,,,229055,,,,,,,,,,
,,,,,1569,,,,,,,85040043,,89999,Mercedes-Benz S-Klasse,7047 Trondheim,Inklusiv,,,,88430,,,,,,,,,,
,,,,,3660,,,,,,,98598971,,448000,Volvo XC 70,2007 Kjeller,Ikke inklusiv,,,,444340,,,,,,,,,,
,,,,,Fritatt,,,,,,,98598928,,594000,Volvo XC 60,2007 Kjeller,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,Fritatt,,,,,,,98598904,,617000,Volvo XC 60,2007 Kjeller,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,Fritatt,,,,,,,98598883,,616000,Volvo XC 60,2007 Kjeller,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,Fritatt,,,,,,,98598862,,615000,Volvo XC 60,2007 Kjeller,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,Fritatt,,,,,,,98598804,,595000,Volvo XC 60,2007 Kjeller,Ikke inklusiv,,,,,,,,,,,,,,
