tabled_Salgsform,tabled_Forrige pris,id,price,title,place,tabled_Antall dører,tabled_CO2 utslipp,tabled_Interiørfarge,tabled_Hjuldrift,tabled_Pris eks omreg,tabled_Avgiftsklasse,tabled_Antall eiere,tabled_Hjuldriftnavn,tabled_Str. lasterom,tabled_Drivstoff,tabled_Antall seter,tabled_Km.stand,tabled_Årsmodell,tabled_Sylindervolum,tabled_Farge,tabled_Effekt,tabled_Karosseri,tabled_Innskudd,tabled_Omregistrering,tabled_Vekt,tabled_Bilen står i,tabled_Årsavgift,tabled_1. gang registrert,tabled_Girkasse,tabled_Reg.nr.,tabled_Fargebeskrivelse
,,98666841,201000,Volkswagen Beetle,1525 Moss,,,,,"197 340,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,97337756,183560,Nissan Qashqai,8643 Bjerka,,,,,"179 900,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,98668159,28660,Ssangyong Rodius,7820 Spillum,,,,,"25 000,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,70398559,159895,Citroen DS3,7079 Flatåsen,,,,,"156 000,-",,,,,,,,,,,,,,"3 895,-",,,Inklusiv,,,,
,,87188721,392000,Volkswagen Amarok,5178 Loddefjord,,,,,"390 013,-",,,,,,,,,,,,,,"1 987,-",,,Inklusiv,,,,
,,98668030,69000,Citroen Jumpy,3629 Nore,,,,,,,,,,,,,,,,,,,Fritatt,,,Inklusiv,,,,
,,98668831,55001,Opel Corsa,1407 Vinterbro,,,,,"55 000,-",,,,,,,,,,,,,,"1,-",,,Ikke inklusiv,,,,
,,97506388,429900,BMW 5-serie,8800 Sandnessjøen,,,,,"426 240,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,98667130,585000,BMW M3,4327 Sandnes,,,,,"581 340,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,98666066,71569,Ford Excursion,1798 Aremark,,,,,"70 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98667310,563660,BMW X5,1940 Bjørkelangen,,,,,"560 000,-",,,,,,,,,,,,,,"3 660,-",,,Ikke inklusiv,,,,
,,98555207,113074,Toyota Prius,1613 Fredrikstad,,,,,"109 000,-",,,,,,,,,,,,,,"4 074,-",,,Inklusiv,,,,
,,84176469,428000,Volkswagen Transporter,3124 Tønsberg,,,,,"426 052,-",,,,,,,,,,,,,,"1 948,-",,,Inklusiv,,,,
,,98635631,82614,Opel Tigra,5225 Nesttun,,,,,"80 000,-",,,,,,,,,,,,,,"2 614,-",,,Inklusiv,,,,
,,98667627,20469,Toyota Avensis,4355 Kvernaland,,,,,"18 900,-",,,,,,,,,,,,,,"1 569,-",,,Ikke inklusiv,,,,
,,98668177,57614,Toyota Yaris,5357 Fjell,,,,,"55 000,-",,,,,,,,,,,,,,"2 614,-",,,Inklusiv,,,,
,,94477854,166046,Chevrolet Silverado,6230 Sykkylven,,,,,"165 000,-",,,,,,,,,,,,,,"1 046,-",,,Inklusiv,,,,
,,98602625,118660,Opel Insignia,1415 Oppegård,,,,,"115 000,-",,,,,,,,,,,,,,"3 660,-",,,Ikke inklusiv,,,,
,,98668144,86046,Toyota HiAce,1348 Rykkinn,,,,,"85 000,-",,,,,,,,,,,,,,"1 046,-",,,Inklusiv,,,,
,,68278271,26500,Toyota Corolla,1357 Bekkestua,,,,,"25 000,-",,,,,,,,,,,,,,"1 500,-",,,Inklusiv,,,,
,,97796982,206998,Mercedes-Benz B-Klasse,0674 Oslo,,,,,"200 934,-",,,,,,,,,,,,,,"6 064,-",,,Inklusiv,,,,
,,98667422,31046,Toyota HiLux,6511 Kristiansund,,,,,"30 000,-",,,,,,,,,,,,,,"1 046,-",,,Ikke inklusiv,,,,
,,94432594,58000,Kia Rio,3178 Våle,,,,,"55 386,-",,,,,,,,,,,,,,"2 614,-",,,Ikke inklusiv,,,,
